dataset,var.names,var.labels,title,description,family,references
democracy,bmr_democracy_omitteddata,"Dichotomous measure of regime type from Boix, Miller, and Rosato (2012). 1 = democracy. This is the same measure as bmr_democracy, except it records an NA for countries occupied during an international war (e.g., the Netherlands 1940-44) or experiencing state collapse during a civil war (e.g., Lebanon 1976-89). The democracy variable instead fills in these years as continuations of the same regime type.",NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
democracy,bnr,"Dichotomous indicator of democracy from the Bernhard, Nordstrom & Reenock (2001). Event History Coding of Democratic Breakdowns. 0 = non-democracy, 1 - democracy. This indicator has been put in country-year format, extending to 1913, with the help of the Correlates of War panel of independent states; independent countries (not microstates) in this panel that were not included in the original dataset are assumed to be non-democratic for the period.?",NA,NA,NA,"Bernhard, Michael, Timothy Nordstrom, and Christopher Reenock, ""Economic Performance, Institutional Intermediation and Democratic Breakdown,"" Journal of Politics 63:3 (2001), pp. 775-803. Data and coding description available athttp://users.clas.ufl.edu/bernhard/content/data/data.htm"
democracy,bollen_pmm,"0-100 index of democracy from Bollen (2001). Taken from Pemstein, Meserve, and Melton (2013).",NA,NA,NA,"Bollen, Kenneth A. 2001. ""Cross-National Indicators of Liberal Democracy, 1950-1990."" 2nd ICPSR version. Chapel Hill, NC: University of North Carolina, 1998. Ann Arbor, MI: Inter-university Consortium for Political and Social Research, 2001. Original data available athttp://webapp.icpsr.umich.edu/cocoon/ICPSR-STUDY/02532.xml"
democracy,doorenspleet,"Dichotomous index of democracy from Doorenspleet (2000). 1 = authoritarian, 2 = democracy. Omits periods of interruption.",NA,NA,NA,"Doorenspleet, Renske. 2000. Reassessing the Three Waves of Democratization. World Politics 52 (03): 384-406. DOI: 10.1017/S0043887100016580. http://dx.doi.org/10.1017/S0043887100016580. "
democracy,eiu,"0-1 index of democracy from the updated version of the Economist Intelligence Unit. 2012. Democracy Index 2012: Democracy at a Standstill. 0 = least democratic, 1 = most democratic. Taken from http://www.govindicators.org.",NA,NA,NA,Economist Intelligence Unit. 2012. Democracy Index 2012: Democracy at a Standstill.
democracy,exconst,"Executive constraints. 1 = unlimited, 7 = executive parity or subordination. (-88 = transition, -77 = interregnum, -66 foreign interruption). See official Polity codebook for further detail.",NA,NA,NA,"Monty G. Marshall, Ted Robert Gurr, Keith Jaggers, 2014. POLITY IV PROJECT: Dataset Users' Manual. Center for Systemic Peace. Original dataset and codebook available at www.systemicpeace.org. "
democracy,exrec,"Executive recruitment. 1 = Ascription, 2 = ascription + designation, 3 = designation, 4 = self-selection, 5 = executive-guided transition, 6 = dual - ascription + election, 7 = transitional or restricted elections, 8 = competitive elections. (-88 = transition, -77 = interregnum, -66 foreign interruption). See official Polity codebook for further detail.",NA,NA,NA,NA
democracy,freedomhouse,"Average civil liberties + political rights score (reversed so higher values are more democratic) from Freedom House (2015). Goes from 1 (least democratic) to 7 (most democratic). In this version, the index does not include a value for 1981. This is based on the latest Freedom House data going all the way to 2015.",NA,NA,NA,"Freedom House. 2015. ""Freedom in the World."" Original data available at http://www.freedomhouse.org."
democracy,freedomhouse_electoral,"An indicator of whether a country is an ""electoral democracy"" in Freedom House's estimation (1 = yes, 0 - no). Original data available at http://www.freedomhouse.org. Goes from 1 (least democratic) to 7 (most democratic). Available only from 1989. This is based on the latest Freedom House data going all the way to 2015.",NA,NA,NA,NA
democracy,freedomhouse_pmm,"Same as previous but taken from Pemstein, Daniel, Stephen A. Meserve, and James Melton. 2013. ""Replication data for: Democratic Compromise: A Latent Variable Analysis of Ten Measures of Regime Type."" In: Harvard Dataverse. http://hdl.handle.net/1902.1/PMM. Goes from 1 (least democratic) to 7 (most democratic). In this version the index stops at 2008. It also includes a value for 1981.",NA,NA,NA,NA
democracy,gwf,"Dichotmous democracy/autocracy indicator from Geddes, Wright, and Frantz (2014). 0 = autocracy, 1 = democracy. Extended beyond 1945 using Geddes, Wright, and Frantz's case variable, which encodes information about the first year of the regime.",NA,NA,NA,"Geddes, Barbara, Joseph Wright, and Erica Frantz. 2014. Autocratic Breakdown and Regime Transitions: A New Data Set. Perspectives on Politics 12 (1): 313-331. Original data available at http://dictators.la.psu.edu/"
democracy,hadenius_pmm,"0-10 index of democracy from Hadenius 1992. Taken from Pemstein, Meserve, and Melton 2013. Higher values are more democratic.",NA,NA,NA,"Hadenius, Axel. 1992. Democracy and Development. Cambridge: Cambridge University Press. "
democracy,kailitz_binary,"Dichotomous democracy indicator from  Kailitz 2013. 1 = autocracy (all types including electoral autocracy), 2 = liberal democracy.",NA,NA,NA,"Kailitz, Steffen. 2013. Classifying political regimes revisited: legitimation and durability. Democratization 20 (1): 39-60. Original data available athttp://dx.doi.org/10.1080/13510347.2013.738861."
democracy,kailitz_tri,"Trichotomous democracy indicator from Kailitz 2013. 1 = autocracy (all types except electoral autocracy), 2 = electoral autocracy, 3 = liberal democracy.",NA,NA,NA,NA
democracy,lied,"0-6 Lexical Index of Electoral Democracy from Skaaning, Gerring, and Bartusevicius. 2015. This is from V3 of the dataset, updated to 2015. 0 = nonelectoral, 1 = one- or no- party elections, 2 = limited competition multiparty elections for legislature only, 3 = Limited competition multiparty elections for both executive and legislature, 4 = Competitive elections for executive and legislative, limited suffrage, 5 = Male democracy, 6 = Electoral democracy.",NA,NA,NA,"Skaaning, Svend-Erik, John Gerring, and Henrikas Bartusevicius. 2015. A Lexical Index of Electoral Democracy. Comparative Political Studies 48 (12): 1491-1525. "
democracy,lied_accountable,lied_accountable,NA,NA,NA,NA
democracy,lied_electoral,lied_electoral,NA,NA,NA,NA
democracy,lied_inclusive,lied_inclusive,NA,NA,NA,NA
democracy,magaloni_democ_binary,"Dichotomous democracy indicator from Magaloni, Chu, and Min (2013). 0 = autocracy (all types including multiparty autocracy), 1 = democracy. Extended beyond 1950 using the duration_nr variable of the original dataset, which encodes information about the first year of each regime.",NA,NA,NA,"Magaloni, Beatriz, Jonathan Chu, and Eric Min. 2013. Autocracies of the World, 1950-2012 (Version 1.0). Dataset, Stanford University. Original data and codebook available athttp://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset/."
democracy,magaloni_regime_tri,"Trichotomous democracy indicator from Magaloni, Chu, and Min. 2013. 1 = autocracy (all types except multipary autocracy), 2 = multiparty autocracy, 3 = democracy. Extended beyond 1950 using the duration_nr variable of the original dataset, which encodes information about the first year of each regime.",NA,NA,NA,NA
democracy,mainwaring,"Trichotomous democracy indicator from Mainwaring, Brinks, and Perez Linan (2008).  -1 = non-democracy, 0 = hybrid, 1 = democracy.",NA,NA,NA," Mainwaring, Scott, Daniel Brinks, and Anibal Perez Linan. 2008. ""Political Regimes in Latin America, 1900-2007."" Original data available fromhttp://kellogg.nd.edu/scottmainwaring/Political_Regimes.pdf."
democracy,mainwaring_pmm,"Same as mainwaring but taken from Pemstein, Meserve, and Melton 2013. Differs from the original data in a few cases.",NA,NA,NA,NA
democracy,munck_pmm,"0-1 index of democracy from Munck 2009. Taken from Pemstein, Meserve, and Melton 2013. Only available for 342 country-years. Higher values are more democratic.",NA,NA,NA,"Munck, Gerardo L. 2009. Measuring Democracy: A Bridge Between Scholarship and Politics. Baltimore: Johns Hopkins University Press. "
democracy,pacl,"Dichotomous measure of democracy from Cheibub, Gandhi, and Vreeland 2010. 1= democracy, 0 = non-democracy.",NA,NA,NA," Cheibub, Jose Antonio, Jennifer Gandhi, and James Raymond Vreeland. 2010. ""Democracy and Dictatorship Revisited."" Public Choice. 143(1):67-101. Original data available athttps://sites.google.com/site/joseantoniocheibub/datasets/democracy-and-dictatorship-revisited. "
democracy,pacl_pmm,"Same as pacl but taken from Pemstein, Meserve, and Melton 2013. Differs from the original data in a few cases.",NA,NA,NA,NA
democracy,PEPS1i,"Participation-Enhanced Polity Score 1, polity score adjusted using IDEA Votes/Voting age population. From Moon et al 2006. ",NA,NA,NA,NA
democracy,PEPS1q,"Participation-Enhanced Polity Score 1, polity score adjusted using (mostly)IDEA votes/Voting age population, with participation coded zero for noncompetitive elections. From Moon et al 2006.",NA,NA,NA,"Moon, Bruce, Jennifer Harvey Birdsall, Sylvia Ceisluk, Lauren M. Garlett, Joshua J. Hermias, Elizabeth Mendenhall, Patrick D. Schmid, and Wai Hong Wong (2006) ""Voting Counts: Participation in the Measurement of Democracy"" Studies in Comparative International Development 42, 2 (Summer, 2006). The complete dataset is available here:http://www.lehigh.edu/~bm05/democracy/Obtain_data.htm."
democracy,PEPS1v,"Participation-Enhanced Polity Score 1, polity score adjusted using Vanhanen votes/two-thirds of Vanhanen population. From Moon et al. (2006).",NA,NA,NA,NA
democracy,PEPS2i,"Participation-Enhanced Polity Score 2, polity score adjusted using IDEA Votes/Voting age population. From Moon et al. 2006.",NA,NA,NA,NA
democracy,PEPS2q,"Participation-Enhanced Polity Score 2, polity score adjusted using (mostly)IDEA votes/Voting age population, with participation coded zero for noncompetitive elections. From Moon et al. 2006.",NA,NA,NA,NA
democracy,PEPS2v,"Participation-Enhanced Polity Score 2, polity score adjusted using Vanhanen votes/two-thirds of Vanhanen population. From Moon et al. 2006.",NA,NA,NA,NA
democracy,pitf,"A five category indicator of democracy described in Goldstone et al 2010. Can be:

0-Full autocracy (exrec < 7, parcomp !=0 and parcomp < 3)

1-Partial autocracy (exrec < 7, parcomp = 0 or parcomp > 2)

2-Partial democracy with factionalism (exrec > 6, parcomp = 3)

3-Partial democracy (exrec > 6, parcomp = 0 or parcomp = 4 or parcomp = 5 but exrec != 8)

4-Full democracy (exrec = 8, parcomp = 5). See Goldstone et al. 2010 for full details.",NA,NA,NA,"Goldstone, Jack, Robert Bates, David Epstein, Ted Gurr, Michael Lustik, Monty Marshall, Jay Ulfelder, and Mark Woodward. 2010. A Global Model for Forecasting Political Instability. American Journal of Political Science 54 (1): 190-208. DOI:10.1111/j.1540-5907.2009.00426.x"
democracy,pitf_binary,"A simplification of the pitf indicator of democracy described in Taylor and Ulfelder 2015. A country is a democracy (1) ""if its chief executive is chosen in competitive elections (EXREC equal to 7 or 8) and political competition is not suppressed (PARCOMP equal to 0 or PARCOMP greater than 2)"" Otherwise it is a non-democracy (0).",NA,NA,NA,"Taylor, Sean J. and Ulfelder, Jay, A Measurement Error Model of Dichotomous Democracy Status (May 20, 2015). Available at SSRN:http://ssrn.com/abstract=2726962 or http://dx.doi.org/10.2139/ssrn.2726962"
democracy,polcomp,"Measure of political competition from POLITY IV. 1= repressed (totally closed), 2 = restricted, 3 = authoritarian-guided liberalization, 4 = uninstitutionalized, 5 = gradual transition from uninstitutionalized, 6 = factional/restricted, 7 = factional, 8 = liberalization or retrenchment, 9 = limited and/or decreasing overt coercion, 10 = institutionalized electoral. (-88 = transition, -77 = interregnum, -66 foreign interruption). See official Polity codebook for further detail.",NA,NA,NA,NA
democracy,polity,"Combined Polity Score. The codebook says this: ""The POLITY score is computed by subtracting the AUTOC score from the DEMOC score; the resulting unified polity scale ranges from +10 (strongly democratic) to -10 (strongly autocratic). Note: The POLITY score was added to the Polity IV data series in recognition of its common usage by users in quantitative research and in the overriding interest of maintaining uniformity among users in this application. The simple combination of the original DEMOC and AUTOC index values in a unitary POLITY scale, in many ways, runs contrary to the original theory stated by Eckstein and Gurr in Patterns of Authority (1975) and, so, should be treated and interpreted with due caution Its primary utility is in investigative research which should be augmented by more detailed analysis. The original theory posits that autocratic and democratic authority are distinct patterns of authority, elements of which may co-exist in any particular regime context. The inclusion of this variable in the data series should not be seen as an acceptance of the counter-proposal that autocracy and democracy are alternatives or opposites in a unified authority spectrum, even though elements of this perspective may be implied in the original theory. The POLITY variable provides a convenient avenue for examining general regime effects in analyses but researchers should note that the middle of the implied POLITY ""spectrum"" is somewhat muddled in terms of the original theory, masking various combinations of DEMOC and AUTOC scores with the same POLITY score. Investigations involving hypotheses of varying effects of democracy and/or autocracy should employ the original Polity scheme and test DEMOC and AUTOC separately.""",NA,NA,NA,NA
democracy,polity_pmm,"Same as polity but taken fromPemstein Meserve, and Melton 2013. Differs from the current version of the Polity score in a few cases.",NA,NA,NA,NA
democracy,polity2,"Revised Combined Polity Score: This variable ""modifies the combined annual POLITY score by applying a simple treatment, or ""fix,"" to convert instances of ""standardized authority scores"" (i.e., -66, -77, and -88) to conventional polity scores (i.e., within the range, -10 to +10). The values have been converted according to the following rule set:

-66 Cases of foreign ""interruption"" are treated as ""system missing.""

-77 Cases of ""interregnum,"" or anarchy, are converted to a ""neutral"" Polity score of ""0.""

-88 Cases of ""transition"" are prorated across the span of the transition. For example, country X has a POLITY score of -7 in 1957, followed by three years of -88 and, finally, a score of +5 in 1961. The change (+12) would be prorated over the intervening three years at a rate of per year, so that the converted scores would be as follows: 1957 -7; 1958 -4; 1959 -1; 1960 +2; and 1961 +5.

Note: Ongoing (-88) transitions in the most recent year are converted to ""system missing"" values. Transitions (-88) following a year of independence, interruption (-66), or interregnum (-77) are prorated from the value ""0.""""",NA,NA,NA,NA
democracy,Polity3,Polity3,NA,NA,NA,NA
democracy,polyarchy_contestation,"1-9 index of contestation from the revised version of Coppedge and Reinicke 1991. Revised in 2003-2006. Includes a value for Western Sahara in 2000, which has been assigned code GWn 605; Western Sahara is not coded by any other dataset in this compilation, and is not considered an independent state by either Gleditsch and Ward or the Correlates of War project. Meaning of the scale is as follows:

9 Meaningful fair elections are held, there is full freedom for political organization and expression, and there is no preferential presentation of official views in the media.

8 Meaningful fair elections are held and there is full freedom for political organization and expression, but there is preferential presentation of official views in the media.

7 Meaningful fair elections are held and there is full freedom for political organization, but some public dissent is suppressed and there is preferential presentation of official views in the media.

6 Meaningful fair elections are held, but some independent political organizations are banned, some public dissent is suppressed, and there is preferential presentation of official views in the media.

5 Elections are marred by fraud or coercion, some independent political organizations are banned, some public dissent is suppressed, and there is preferential presentation of official views in the media.

4 Like score 5 except that there is less contestation in one or two of the following respects: no meaningful elections are held, only nonpolitical organizations are allowed to be independent, or alternatives to the official media are very limited.

3 No meaningful elections are held, only nonpolitical organizations are allowed to be independent, some public dissent is suppressed, and alternatives to the official media are very limited.

2 Like score 3 except that there is less contestation in one or two of the following respects: all organizations are banned or controlled by the government or official party, all public dissent is suppressed, or there is no public alternative to official information.

1 No meaningful elections are held, all organizations are banned or controlled by the government or official party, all public dissent is suppressed, and there is no public alternative to official information.",NA,NA,NA,"Coppedge, Michael and Wolfgang H. Reinicke. 1991. Measuring Polyarchy. In On Measuring Democracy: Its Consequences and Concomitants, ed. Alex Inkeles. New Brunswuck, NJ: Transaction pp. 47-68."
democracy,polyarchy_pmm,polyarchy_pmm,NA,NA,NA,NA
democracy,polyarchy_reversed,"0-10 index of democracy from Coppedge and Reinicke 1991. Revised in 2003-2006. This has been reversed so that higher values are more democratic; the original index was scored so that 0 was less democratic. The codebook for the dataset suggests using polyarchy_contestation instead, a more reliable version of the polyarchy scale with fewer categories. Includes a value for Western Sahara in 2000, which has been assigned COW code 605; Western Sahara is not coded by any other dataset in this compilation, and is not considered an independent state by either Gleditsch and Ward or the Correlates of War project. Exclude if necessary.",NA,NA,NA,NA
democracy,prc,"1-4 index of democracy from Gasiorowsk 1996. Available in updated form in Reich 2002. 1= Authoritarian, 2 = transitional, 3 = semidemocratic, 4 = democratic.",NA,NA,NA,"Gasiorowski, Mark J. 1996. ""An Overview of the Political Regime Change Dataset."" Comparative Political Studies 29(4):469-483. "
democracy,prc_notrans,Same as prc but sets all 2 (transition) regimes to NA.,NA,NA,NA,"Reich, G. 2002. Categorizing Political Regimes: New Data for Old Problems. Democratization 9 (4): 1-24. http://www.tandfonline.com/doi/pdf/10.1080/714000289. "
democracy,prc_pmm,"Same as prc but taken from Pemstein, Meserve, and Melton (2013). Differs from the original data in a few cases.",NA,NA,NA,NA
democracy,przeworski,przeworski,NA,NA,NA,NA
democracy,svolik,"Dichotomous indicator of democracy from Svolik 2012. 1 = authoritarian, 2 = democracy. This is extended for a few countries from the o_startdate variable in the original dataset.",NA,NA,NA,"Svolik, Milan. 2012. The Politics of Authoritarian Rule. Cambridge and New York: Cambridge University Press. Original data available from http://campuspress.yale.edu/svolik/the-politics-of-authoritarian-rule/"
democracy,ulfelder,"Dichotomous indicator of democracy from Ulfelder 2012. 0 = authoritarian, 1 = democracy.",NA,NA,NA,"Ulfelder, Jay. 2012. ""Democracy/Autocracy Data Set."" In: Harvard Dataverse. http://hdl.handle.net/1902.1/18836."
